Type K,,,,,,,,,
1/4,0.375,0.305,,,,,,,
3/8,0.5,0.402,,,,,,,
1/2,0.625,0.527,,,,,,,
5/8,0.75,0.652,,,,,,,
3/4,0.875,0.745,,,,,,,
1,1.125,0.995,,,,,,,
1 1/4,1.375,1.245,,,,,,,
1 1/2,1.625,1.481,,,,,,,
2,2.125,1.959,,,,,,,
2 1/2,2.625,2.435,,,,,,,
3,3.125,2.907,,,,,,,
3 1/2,3.625,3.385,,,,,,,
4,4.125,3.857,,,,,,,
5,5.125,4.805,,,,,,,
6,6.125,5.741,,,,,,,
8,8.125,7.583,,,,,,,
10,10.125,9.449,,,,,,,
12,12.125,11.315,,,,,,,
Type M,,,,,,,,,
3/8,0.5,0.45,,,,,,,
1/2,0.625,0.569,,,,,,,
3/4,0.875,0.811,,,,,,,
1,1.125,1.055,,,,,,,
1 1/4,1.375,1.291,,,,,,,
1 1/2,1.625,1.527,,,,,,,
2,2.125,2.009,,,,,,,
2 1/2,2.625,2.495,,,,,,,
3,3.125,2.981,,,,,,,
3 1/2,2.625,3.459,,,,,,,
4,4.125,3.935,,,,,,,
5    ,5.125,4.907,,,,,,,
6    ,6.125,5.881,,,,,,,
8    ,8.125,7.785,,,,,,,
10    ,10.125,9.701,,,,,,,
12    ,12.125,11.617,,,,,,,
Type L,,,,,,,,,
 1/4,0.375,0.315,,,,,,,
 3/8,0.5,0.43,,,,,,,
 1/2,0.625,0.545,,,,,,,
 5/8,0.75,0.666,,,,,,,
 3/4,0.875,0.785,,,,,,,
1    ,1.125,1.025,,,,,,,
1 1/4,1.375,1.265,,,,,,,
1 1/2,1.625,1.505,,,,,,,
2    ,2.125,1.985,,,,,,,
2 1/2,2.625,2.465,,,,,,,
3    ,3.125,2.945,,,,,,,
3 1/2,3.625,3.425,,,,,,,
4    ,4.125,3.905,,,,,,,
5    ,5.125,4.875,,,,,,,
6    ,6.125,5.845,,,,,,,
8    ,8.125,7.725,,,,,,,
10    ,10.125,9.625,,,,,,,
12    ,12.125,11.565,,,,,,,
